,gold,silver
1981,1645,2715
1982,1800,2720
1983,1970,3105
1984,2130,3570
1985,2140,3955
1986,2570,4015
1987,3130,4794
1988,3140,6066
1989,3200,6755
1990,3466,6463
1991,4334,6646
1992,4140,8040
1993,4598,5489
1994,4680,7124
1995,5160,6335
1996,4725,7346
1997,4045,7345
1998,4234,8560
1999,4400,7615
2000,4300,7900
2001,4990,7215
2002,5600,7875
2003,5850,7695
2004,7000,11770
2005,8400,10675
2006,10800,17405
2007,12500,19520
2008,14500,23625
2009,18500,27255
2010,26400,56900
2011,31050,56290
2012,29600,54030
2013,28006,43070
2014,26343,37825
2015,28623,36990
2016,29667,37825
2017,31438,41400
2018,35220,40600
2019,48651,63435
2020,50045,62572
2021,52950,55100
